obj_id,text_id,obj_filename,tex
01,01,01.obj,A bear is roaring and lunging forward
02,02,02.obj,A polar bear is idle
03,03,03.obj,A male sheep with curly horns is idle
04,04,04.obj,An angry cat is in defense and holding tail straight up
05,05,05.obj,A black cat is running
06,06,06.obj,A cat is idle
07,07,07.obj,A dog is sitting and holding a bone in mouth
08,08,08.obj,An Australian cattle dog is idle
09,09,09.obj,A Canaan dog is idle with a curly tail
10,10,10.obj,A farm dog is walking
11,11,11.obj,A goat with short beard is idle
