obj_id,tex
0109bd7501410481,springbok female
019470e0b56fe70a,goat
019470e0b56fe70a,A goat is running around the farm to find grass
0313b6fb78613a9e,american bison female
0426cd835b1f0bf0,binturong female
0449f665c5c7d649,cheetah female
0449f665c5c7d649,A female cheetah is moving around to find water
046ba23fb2dba9b6,african buffalo female
079c96c521c73ca9,african elephant female
079c96c521c73ca9,A female African elephant is standing in the shade to take a rest
0b3e8d17d98f5193,capuchin monkey female
0c27b52a88c33aae,zebra
0cc1b52750c22499,red kangaroo male
0cc1b52750c22499,A red kangaroo is resting in the shade
11e16848f8de0a7b,bornean orangutan male
11e16848f8de0a7b,A male Bornean orangutan is looking for food near the stream
13a49ab0aecbc76f,mandrill female
13a49ab0aecbc76f,A female mandrill is climbing out the top of the tree
158dcfba185978e8,sable antelope juvenile
17e243080e46a77a,diamondback terrapin
1815808c9db01bc7,thomsons gazelle female
1815808c9db01bc7,A female thomsons gazelle is browsing on grasses
19be36a45ce6f9e4,dall sheep female
1b1aee8806c0393b,duck
1b1aee8806c0393b,A white duck is resting on the water
1ba95d8d320f5e33,hippopotamus
1ba95d8d320f5e33,A hippopotamus is travelling through water
1df3b0ad86562fde,spotted hyena male
1df3b0ad86562fde,A spotted hyena is resting in mud at stream
1f356a5d5fbd0263,seagull
2030c08c33298d28,okapi male
223bc7dec8a03c59,sparrow
223bc7dec8a03c59,A tiny sparrow is foraging for food on the ground
255d31f96c2f3723,sun bear male
255d31f96c2f3723,A sun bear is lumbering through the forests by night
2846d0b05ed649cf,lioness
2846d0b05ed649cf,A big lioness is resting under the tree
2accc11b14dde296,indian elephant male
2accc11b14dde296,An Indian male elephant is sucking up water
2c709428b2ca75be,pygmy hippo juvenile
2f97710a9ad1b2c5,stag
2f97710a9ad1b2c5,A red deer stag is seeking shelter in dense vegetation
30cf391e77c2cf88,malayan tapir male
30cf391e77c2cf88,A male Baird tapir is seeking out water
30cf391e77c2cf88,A Malayan tapir is foraging for leaves around the tree
30db82e1d7e02e0f,bear
30db82e1d7e02e0f,A big bear is searching for food in the cave
31cf8317f82a5815,clouded leopard female
3bdb27fe2e018a7c,elephant
3bdb27fe2e018a7c,A huge elephant is using their trunks to spray water
3c5f903557218c37,boar
3c5f903557218c37,A huge boar is roaming over large areas in search of water
3cf19cfa1149d500,pronghorn antelope female
3d9546c481cc1c22,reindeer juvenile
3e5de1100e3b5b82,dall sheep male
3e93217cf9baa08f,indian peafowl male
413505e6f4ddf95e,reticulated giraffe male
43cc39cf656a41ae,west african lion female
43cc39cf656a41ae,A female west african lion is roaming the savannas
43cfff6a23acafe7,mandrill juvenile
43fd7e94a67f9376,common warthog female
492ab711a91f0d60,common ostrich juvenile
4a2ef78c1829d866,american bison juvenile
4b433ec01cdaafff,chinese pangolin male
4c681e7d9db52f8b,japanese macaque male
4ca46d226ab601bf,nyala female
4f144c6cac46dac5,proboscis monkey male
4f7811c96a04ba51,red ruffed lemur male
4f7811c96a04ba51,A red ruffed lemur  is standing under the tree
52037651db34d9c6,gemsbok female
52037651db34d9c6,A big gemsbok is standing beside the waterfall
53139295c1a7f131,indian rhinoceros male
53e190f2111eaddb,lehmanns poison frog
59bd33136e830f43,cuviers dwarf caiman juvenile
59bd33136e830f43,A cuviers dwarf caiman is resting
5a0331cd4017b611,cow
5a0331cd4017b611,A great cow is resting and lie down under the tree
5aff7c6a33aa8071,pygmy hippo male
5cf7adb1082aa77d,sable antelope male
5d078794e493954c,aardvark female
5f2f1b58e50c61bf,african wild dog female
